Headline,Date,Source
GM Works On Plug-In Saturn Hybrid,2006-11-29 06:32:17 PM,US: NEWS
Ghosn Goes Green -- Developing What He Couldn’t Acquire With GM,2006-12-11 06:16:52 PM,BEHIND THE WHEEL
Exploring The Alternatives,2007-02-14 03:36:28 PM,US: NEWS
Green Technology Revs Up Venture Capitalists,2007-03-06 05:54:30 PM,US: NEWS
Video Roundup: Going Green at Geneva Auto Show,2007-03-09 05:55:22 PM,US: NEWS
Green Technology Revs Up Venture Capitalists,2007-04-20 08:18:09 PM,US: NEWS
GE Chief Exec Says Demand for Environmental Products Surging,2007-05-25 03:33:21 PM,US: NEWS
Automakers Work to Lower Emissions,2007-09-10 03:04:50 AM,RENEWABLE ENERGY
Returns In Cleantech Investing Run Hot And Cold,2007-11-02 06:37:34 PM,GREEN: THE COLOR OF MONEY
Hydrogen Cars: Are They Real Hope Or Just Hype?,2007-11-05 01:54:59 PM,BEHIND THE WHEEL
Ballard Says in Talks With Daimler on Fuel Cell Unit,2007-11-05 07:39:16 PM,GREEN
Putting Clean-Coal Technology On The Map,2007-12-19 06:29:48 PM,GREEN: THE COLOR OF MONEY
Toyota Revs Up Its Hybrid Line,2008-01-14 07:06:42 PM,GREEN: THE COLOR OF MONEY
Iceland Proves There’s Hope for Hydrogen,2008-03-20 01:38:36 PM,RENEWABLE ENERGY
"Honda’s Hydrogen FCX Clarity: Clearly, The Future Is Here",2008-06-16 01:55:54 PM,BEHIND THE WHEEL
Big Blue Backs Solar,2008-06-16 10:16:04 PM,FAST MONEY
Big Three Automakers: What’s Their Biggest Threat?,2008-06-17 02:28:52 PM,BEHIND THE WHEEL
Related Links: Organizations,2008-06-20 07:56:48 PM,POWERING THE PLANET
Car Delivery: GM Thinking Green,2008-09-12 07:01:04 PM,AUTOS
Obama Moves To Reverse Bush Climate Policies,2009-01-26 03:54:45 PM,GREEN
The Terminator’s Day In Motown,2009-03-12 03:40:37 PM,BEHIND THE WHEEL
Stimulus Money Puts Clean Coal Projects on a Faster Track,2009-03-17 01:02:34 PM,ENERGY
Big Oil Sees Promise in Pond Scum,2009-04-17 07:33:34 PM,GREEN INVESTS HERE
Big Oil Warms to Ethanol,2009-05-27 01:34:25 PM,ENERGY
"Stock Picks: Energy, Auto Dealers & More",2009-06-18 07:32:25 PM,STOCK BLOG
Greening Up the Empire State Building,2009-10-04 01:59:12 PM,GUEST BLOG
Tamminen: Copenhagen Crowd Should Study These Local Solutions To Global Problems,2009-12-15 01:02:18 PM,GUEST BLOG
Tamminen: Wasting An Abundant Renewable Energy,2010-01-06 04:10:28 PM,GUEST BLOG
"Detroit Rides Green, But Fuel Efficiency Drives Sales",2010-01-11 01:51:10 PM,BUSINESS
How To Revive America’s Manufacturing Mojo,2010-01-27 11:44:21 AM,GUEST BLOG
Momentum For Clean Coal Conversion Burning Out,2010-02-08 02:57:20 PM,CARBON CHALLENGE
QUIZ: Alternative Energy,2010-04-21 06:30:37 PM,BEYOND THE BARREL: THE RACE TO FUEL THE FUTURE
Hitachi and Schwarzenegger: Solutions for a Thirsty Planet,2010-07-12 01:49:36 PM,GUEST BLOG
"GM, Chrysler Each to Hire 1,000 Engineers",2010-11-30 09:07:25 PM,AUTOS
Tamminen: Eyes On A Remarkable Clean-Energy Prize,2011-01-03 03:02:57 PM,GUEST BLOG
Tamminen: It’s Cheaper to Invade Canada,2011-02-28 01:13:33 PM,GUEST BLOG
CNBC Guest Blogger Terry Tamminnen: No Silver Bullet In Cleantech,2011-04-18 12:09:11 PM,GUEST BLOG
The Science Behind Jim Chanos’s Anti-Green Energy Trade,2011-05-25 08:29:03 PM,NETNET
Grave New World Of Energy,2011-06-13 02:04:04 PM,ENERGY AND YOU 2011
The Richest Places In The Universe,2011-11-08 10:34:21 PM,SLIDE SHOWS
Nuclear Fusion Edges Closer to Commercialization,2012-04-23 05:01:37 PM,BETTER YOUR BUSINESS 2012
Goldman Investment Shines Light on Solar Power,2012-05-29 03:47:41 PM,STOCK BLOG
Is Cold Fusion Finally Being Accepted by Scientists?,2012-08-10 09:59:50 PM,OPINION
US Navy Investigates Turning Seawater Into Jet Fuel,2012-10-09 09:11:05 PM,OPINION
Electric Cars Head Toward Another Dead End,2013-02-04 09:43:33 AM,AUTOS
Iceland Looks to Export Power Bubbling From Below,2013-02-21 10:30:00 AM,ENERGY
Why We Need to Help the Chinese Frack,2013-06-03 05:38:33 PM,MEGATRENDS
Europe and China’s green shoots have US gardener to thank,2013-08-08 02:28:23 PM,TRADER TALK
Hamburg and Songdo: Two cities tackling sustainability,2013-11-11 12:19:00 PM,INNOVATION CITIES
"To clean up coal, Obama pushes more oil production",2013-12-23 12:51:26 PM,ENERGY
Muscling up at the Detroit Auto Show,2014-01-15 09:04:40 PM,AUTOS
A ban on autos? Major cities consider going carless,2014-01-26 12:00:00 PM,AUTOS
10 technologies for the bottom of the pyramid,2014-04-25 11:15:34 PM,TECH EDGE
Toyota turns to fuel cell after hybrid success,2014-07-17 04:25:48 PM,AUTOS
Toyota aims to replicate Prius success with fuel cell Mirai,2014-11-19 07:09:12 AM,BEHIND THE WHEEL
Gas prices are falling but hybrid production is not,2014-12-02 10:00:00 AM,AUTOS
Amsterdam: Plugging into clean transport,2015-01-29 06:33:08 AM,SUSTAINABLE ENERGY
Flush with success: The UK’s first poop-powered bus,2015-02-03 09:40:59 AM,SUSTAINABLE ENERGY
The US could be completely powered by renewables by 2050: report,2015-06-12 10:43:35 AM,SUSTAINABLE ENERGY
You won’t believe what’s fueling these cars:,2015-08-07 04:00:00 AM,SUSTAINABLE ENERGY
The end of the jeepney? Manila goes green,2015-11-19 10:57:46 AM,SUSTAINABLE ENERGY
Congress is helping China win this energy race,2016-01-28 05:31:04 PM,RENEWABLE ENERGY
How plants could soon be keeping our planes in the air,2016-06-23 08:35:23 AM,SUSTAINABLE ENERGY
"Beyond Tesla-Solar City, here’s what needs to happen next to solve climate change",2016-06-29 03:37:40 PM,ENERGY
Using bacteria to clean up oil,2016-09-22 09:59:36 AM,SUSTAINABLE ENERGY
"Elon Musk outlines vision for life on Mars with droids, glass domes, and huge rockets",2016-10-24 08:48:23 AM,TECH TRANSFORMERS
Honda introduces two new ‘green’ cars that are joining its lineup,2017-04-12 05:09:16 PM,AUTOS
Researchers have developed a paint which can absorb sunlight and produce hydrogen,2017-06-28 11:54:22 AM,SUSTAINABLE ENERGY
"After years of growth, automakers are cutting US jobs",2017-07-05 12:45:33 PM,JOBS
China is going to have to do ‘considerably more’ on North Korea: Analyst,2017-09-05 12:37:00 AM,ASIA: SQUAWK BOX
Here are the 10 most important stories for investors Wednesday morning,2017-09-13 01:53:43 PM,PRO ANALYSIS
Hydrogen could transform the way your car is fueled,2017-10-13 07:27:28 AM,SUSTAINABLE ENERGY
Europe’s oil capital turns to clean green hydrogen buses,2017-10-19 12:06:53 PM,SUSTAINABLE ENERGY
"Europe’s oil capital turns to clean, green hydrogen buses",2017-10-20 09:47:20 AM,SUSTAINABLE ENERGY
The odorless gas that’s transforming the way we travel,2018-01-05 08:35:01 AM,SUSTAINABLE ENERGY
"Electric buses, hybrid taxis and cycling: The increasingly green future of public transport",2018-03-22 08:36:58 AM,SUSTAINABLE ENERGY
Five ways that urban transport can become cleaner and greener,2018-03-27 10:54:59 AM,SUSTAINABLE ENERGY
Siemens is expanding in the Middle East with a $500 million internet of things investment,2018-04-16 02:40:36 PM,BUSINESS
Will a garbage revolt threaten Putin?,2018-06-07 08:47:40 PM,WORLD POLITICS
"If you want a car that runs on gas and electric, you should check out ...",2018-09-09 02:00:45 PM,TECHNOLOGY
California Energy Commission green-lights $8 million grant for hydrogen fuel cell station,2018-11-08 12:19:19 PM,SUSTAINABLE ENERGY
"Elon Musk says the tech is ‘mind-bogglingly stupid,’ but hydrogen cars may yet threaten Tesla",2019-02-23 02:00:40 PM,POWERING THE FUTURE
Jeff Bezos is finally ending secrecy over Amazon’s role in carbon emissions,2019-03-08 03:29:54 PM,CERAWEEK
What America needs is a ‘Green Real Deal’: Obama/Bush energy policymakers say,2019-03-11 03:35:58 PM,CERAWEEK
Ocasio-Cortez’s Green New Deal is not going over well at one of the year’s biggest ...,2019-03-12 02:36:34 PM,CERAWEEK
Zero-emission cars in the UK could soon have green license plates,2019-10-22 11:35:46 AM,SUSTAINABLE ENERGY
"In Finland, a start-up wants to produce hydrocarbons using renewables",2019-11-18 10:56:28 AM,SUSTAINABLE ENERGY
Electric buses return to Glasgow for first time in more than 50 years,2020-01-13 03:43:41 PM,SUSTAINABLE ENERGY
UK government announces millions in funding for ‘low carbon’ hydrogen production,2020-02-18 02:23:34 PM,SUSTAINABLE ENERGY
Transport giants Volvo Group and Daimler Truck team up to focus on fuel-cell technology,2020-04-21 02:37:36 PM,SUSTAINABLE ENERGY
"In Sweden, hydrogen has been used to heat steel in a bid to boost sustainability",2020-05-01 08:53:46 AM,SUSTAINABLE ENERGY
A massive renewable energy scheme in Australia has been recommended for environmental approval,2020-05-04 02:37:56 PM,SUSTAINABLE ENERGY
"Maersk, Orsted and other Danish companies team up to produce sustainable fuels on a large ...",2020-05-26 03:39:37 PM,SUSTAINABLE ENERGY
Spain’s Repsol plans to invest millions in fuel production using green hydrogen,2020-06-15 03:58:58 PM,SUSTAINABLE ENERGY
"Stock market live Wednesday: Stocks roll over, Grantham dumping stocks, big tech stays green",2020-06-17 11:43:51 AM,MARKETS
A battery-electric plane takes to skies over England in latest example of ‘zero-emission’ flight,2020-06-24 02:50:02 PM,SUSTAINABLE ENERGY
Nikola is a social investing home run for Jeff Ubben as he launches new fund,2020-06-27 12:47:01 PM,ACTIVIST SPOTLIGHT
Energy major announces plans to produce hydrogen from ‘largest plant of its kind’,2020-07-02 02:12:43 PM,SUSTAINABLE ENERGY
The construction industry draws on green tech with electric and hydrogen fuel cell equipment,2020-07-07 12:20:53 PM,IOT: POWERING THE DIGITAL ECONOMY
Shell and Eneco’s offshore wind farm to include floating solar and hydrogen production,2020-07-30 01:19:39 PM,SUSTAINABLE ENERGY
"Linde CEO talks supplying industrial gases, green hydrogen investments",2020-08-19 11:04:14 PM,MAD MONEY
"U.K. rail station utilizing solar power, timber materials and rainwater harvesting wins planning approval",2020-08-27 03:16:40 PM,IOT: POWERING THE DIGITAL ECONOMY
"Siemens gets ready to spin off its energy business, emphasizing a need for ‘focus’",2020-09-01 12:48:46 PM,SUSTAINABLE ENERGY
Off-grid construction site taps into hydrogen fuel cell tech to power operations,2020-09-03 01:08:34 PM,IOT: POWERING THE DIGITAL ECONOMY
"Global ‘race is on’ for hydrogen agenda, SNAM CEO says",2020-09-07 10:22:41 AM,SQUAWK BOX EUROPE
"Global ‘race is on’ for hydrogen agenda, SNAM CEO says",2020-09-07 10:22:41 AM,SQUAWK BOX EUROPE
"From free electric bikes to new infrastructure, the fabric of our cities is changing",2020-09-11 07:53:22 AM,IOT: POWERING THE DIGITAL ECONOMY
Bank of America has a complete guide to how stocks like tech could trade following ...,2020-09-12 12:25:30 PM,PRO: PRO INSIGHT
"In Austria, a hydrogen train is set to travel on challenging alpine routes",2020-09-14 01:55:01 PM,SUSTAINABLE ENERGY
"In a bid to cut costs and emissions, a multi-billion pound infrastructure project pilots artificial ...",2020-09-15 12:16:12 PM,IOT: POWERING THE DIGITAL ECONOMY
President Xi tells UN that China will be ‘carbon neutral’ within four decades,2020-09-23 11:02:17 AM,SUSTAINABLE ENERGY
"Hydrogen is at a ‘tipping point’ with $11 trillion market set to explode, says Bank ...",2020-09-27 11:53:06 AM,PRO: INVESTING TRENDS
"Plug Power has ‘rapid growth potential,’ Morgan Stanley says in upgrade",2020-09-28 01:37:00 PM,PRO: STREET CALLS
"Stocks making the biggest moves midday: Snap, Devon Energy, Virgin Galactic, UPS, Chevron & more",2020-09-28 04:03:15 PM,MARKET INSIDER
How Biden’s $1.7 trillion climate plan would change America after Trump’s Big Oil presidency,2020-10-01 12:47:53 PM,POWERING THE FUTURE
Hydrogen-powered trains get the green light as Siemens Energy and Mobility sign joint agreement,2020-10-06 12:09:29 PM,SUSTAINABLE ENERGY
‘I’m bullish on hydrogen’ — Jim Cramer breaks down his top hydrogen plays,2020-10-09 10:45:29 PM,MAD MONEY
Jim Cramer: It’s time to start taking hydrogen seriously,2020-10-09 11:11:26 PM,MAD MONEY
"Jim Cramer endorses Plug Power, Linde: ‘green hydrogen does represent the future’",2020-10-09 11:12:24 PM,MAD MONEY
Water has become a big issue for Big Tech. But Microsoft has a plan,2020-10-13 06:17:42 AM,"PRESERVE, SUPPLY AND SUSTAIN"
The investment opportunities in ‘green hydrogen’ might not be where you think,2020-10-13 12:05:57 PM,SUSTAINABLE ENERGY
Here are Morgan Stanley’s top picks for the earnings season,2020-10-16 02:38:24 PM,PRO: INVESTING TRENDS
Green hydrogen is too expensive today: Siemens Energy CEO,2020-10-19 11:54:57 AM,STREET SIGNS EUROPE
Biden has an ambitious climate policy — Here’s what it means for alternative energy stocks,2020-10-31 12:00:57 PM,PRO: INVESTING TRENDS
An $11 trillion global hydrogen energy boom is coming. Here’s what could trigger it,2020-11-01 02:52:28 PM,POWERING THE FUTURE
Solar stocks are rising as investors bet on a possible Biden tailwind,2020-11-02 03:15:11 PM,PRO: INVESTING TRENDS
Solar stocks drop as election results dim prospects for climate policies like Green New Deal,2020-11-04 07:45:03 PM,TECHNOLOGY
Volkswagen is trying to help a Greek island go green,2020-11-06 12:24:45 PM,IOT: POWERING THE DIGITAL ECONOMY
Cramer’s week ahead: Next week could be unpredictable,2020-11-07 12:03:48 AM,MAD MONEY
Orsted and BP look to develop major renewable hydrogen project in Germany,2020-11-10 01:42:09 PM,SUSTAINABLE ENERGY
Citi names 4 South Korean stocks that should be in your portfolio when Biden is ...,2020-11-10 06:09:07 AM,CNBC PRO
Green hydrogen project combining tidal power and battery tech aims for continuous production,2020-11-10 08:16:29 AM,SUSTAINABLE ENERGY
Green hydrogen project combining tidal power and battery tech aims for continuous production,2020-11-10 08:16:29 AM,SUSTAINABLE ENERGY
Jim Cramer: Why 100 year-old Dow stock Honeywell is a big bet on the future,2020-11-10 08:29:13 PM,EVOLVE
The UK plans to ban sales of diesel and petrol cars from 2030,2020-11-18 12:32:31 PM,SUSTAINABLE ENERGY
Siemens and Deutsche Bahn plan trial of hydrogen-powered train in Germany,2020-11-26 10:30:54 AM,SUSTAINABLE ENERGY
A ‘world first’ project to heat homes using renewable hydrogen gets the green light,2020-12-01 04:47:57 PM,IOT: POWERING THE DIGITAL ECONOMY
Jim Cramer recommends Linde and Cummins for the future of hydrogen energy,2020-12-01 12:04:19 AM,MAD MONEY
Jim Cramer recommends Linde and Cummins for the future of hydrogen energy,2020-12-01 12:04:19 AM,MAD MONEY
Porsche investing $24 million in ‘e-fuels’ to supplement electrification of sports cars,2020-12-02 07:21:32 PM,AUTOS
Bank of America names three European stocks with 25-45% upside potential,2020-12-03 01:45:47 PM,CNBC PRO
"Green hydrogen is gaining traction, but still has massive hurdles to overcome",2020-12-04 01:00:01 PM,POWERING THE FUTURE
"Green hydrogen is gaining traction, but still has massive hurdles to overcome",2020-12-04 01:00:01 PM,POWERING THE FUTURE
"Green hydrogen could help us cut our carbon footprint, if it overcomes some big hurdles",2020-12-04 12:59:01 PM,POWERING THE FUTURE
Hydrogen planes and hyperloop: The EU outlines its vision for the future of transport,2020-12-10 12:17:31 PM,SUSTAINABLE ENERGY
Hydrogen planes and hyperloop: The EU outlines its vision for the future of transport,2020-12-10 12:17:31 PM,SUSTAINABLE ENERGY
"These green energy tax credits are set to expire, unless Congress renews them",2020-12-15 01:01:32 PM,IMPACT INVESTING
MP Materials CEO says rare magnets supplier is a ‘picks-and-shovels play’ for EV market,2020-12-17 01:36:07 AM,MAD MONEY
The Covid relief bill will keep these tax breaks around even longer,2021-01-04 06:31:59 PM,SMART TAX PLANNING
California governor’s stimulus plan includes $1.5 billion to boost electric and hydrogen vehicles,2021-01-06 10:33:18 PM,TECHNOLOGY
Plug Power talks role in expanding the green hydrogen economy,2021-01-07 11:51:41 PM,MAD MONEY
"Plug Power CEO expects ‘great time’ for hydrogen industry, after Democrats win Senate",2021-01-08 12:04:24 AM,MAD MONEY
Clean energy had a record year — here are Morgan Stanley’s picks going forward,2021-01-15 04:42:13 PM,PRO: STREET CALLS
Canada is set to have one of the world’s biggest green hydrogen plants,2021-01-19 03:20:47 PM,SUSTAINABLE ENERGY
Denmark to trial green hydrogen production using offshore wind turbines,2021-01-20 02:46:27 PM,SUSTAINABLE ENERGY
European markets close higher ahead of Joe Biden’s inauguration; earnings in focus,2021-01-20 06:07:04 AM,EUROPE MARKETS
"Hydrogen is going to take 25% of all oil demand by 2050, Bank of America ...",2021-01-22 02:52:58 PM,SUSTAINABLE ENERGY
A German city is hoping to repurpose an old coal plant to start producing green ...,2021-01-22 05:02:53 PM,SUSTAINABLE ENERGY
Here are 3 energy stocks that top analysts say are smart plays in a Biden ...,2021-01-24 02:11:52 PM,PRO: FOLLOW THE PROS
"Start-up tackling decarbonization of trucking sector gets funding from Amazon climate fund, Grantham",2021-01-26 01:01:12 PM,RENEWABLE ENERGY
Cramer’s lightning round: Sell BlackBerry,2021-02-02 12:03:27 AM,MAD MONEY
Green hydrogen is about to pop — here are Wall Street’s top stocks for cashing ...,2021-02-11 06:38:43 AM,CNBC PRO
"Platinum is at a six year high — what’s behind the surge, why it can ...",2021-02-14 01:20:00 PM,PRO: INVESTING TRENDS
Cement giants turn to green hydrogen and carbon capture in efforts to curb emissions,2021-02-15 11:06:42 AM,IOT: POWERING THE DIGITAL ECONOMY
"Britain will build its first hydrogen fueled homes by April, offering public a glimpse of ...",2021-02-16 03:34:33 PM,IOT: POWERING THE DIGITAL ECONOMY
"JPMorgan upgrades Plug Power, says it will be a leader in the future hydrogen economy",2021-03-01 03:38:36 PM,PRO: STREET CALLS
"Here are Wednesday’s biggest analyst calls of the day: Lyft, Roku, Tesla, Virgin Galactic & ...",2021-03-03 01:12:36 PM,PRO: STREET CALLS
The oil industry is getting greener faster as U.S. policy shifts to climate change,2021-03-03 11:46:17 AM,ENERGY
Morgan Stanley slashes through the hype and picks 2 ‘green hydrogen’ stocks,2021-03-05 06:27:56 AM,PRO: STREET CALLS
Morgan Stanley says the zero-emission commercial vehicle market is set to boom — 7 stocks ...,2021-03-07 01:24:12 PM,PRO: STREET CALLS
India is turning to ‘green hydrogen’ in a bid to decarbonize its economy,2021-03-10 12:53:13 PM,SUSTAINABLE ENERGY
"Three stocks to play in a low-carbon emissions world, according to Credit Suisse",2021-03-13 02:04:49 PM,PRO: STREET CALLS
"Hydrogen is currently the only solution to decarbonize some industries, RWE exec says",2021-03-16 05:02:10 PM,SUSTAINABLE ENERGY
"Green hydrogen can compete with fossil fuels within 5 years, SNAM CEO says",2021-03-18 01:07:06 PM,SQUAWK BOX EUROPE
BP is working on a huge ‘blue hydrogen’ facility in the UK,2021-03-18 11:56:01 AM,SUSTAINABLE ENERGY
Cramer’s lightning round: Buy the stock of Linde,2021-03-18 11:59:21 PM,MAD MONEY
UBS says $140 trillion will pour into clean energy — and picks the global stocks ...,2021-03-30 06:39:04 AM,PRO: INVESTING TRENDS
Orsted to link a huge offshore wind farm to ‘renewable’ hydrogen production,2021-04-01 07:47:14 AM,SUSTAINABLE ENERGY
"U.S. and China’s next economic battle will be over climate change, experts say",2021-04-01 10:36:01 AM,ECONOMY
Extreme E: Your essential guide to all-new motorsport series live on Sky Sports ahead of ...,2021-04-02 09:10:12 AM,INTERNATIONAL SPORTS
"The reopening is gaining steam and these stocks may soon rally because of it, analysts ...",2021-04-10 01:17:44 PM,PRO: INVESTING TRENDS
Energy firm outlines plans for major hydrogen project that will use UK’s largest electrolyzer,2021-04-14 01:32:09 PM,SUSTAINABLE ENERGY
Energy firm outlines plans for major hydrogen project that will use UK’s largest electrolyzer,2021-04-14 01:32:09 PM,SUSTAINABLE ENERGY
"‘This is our generation’s moonshot,’ Energy Secretary Granholm says of fighting climate change",2021-04-23 01:49:45 PM,MARKETS
"Companies are going green. These clean tech names will get a boost, says Raymond James",2021-04-27 03:20:15 PM,PRO: FUTURE OF ENERGY
"‘Green’ stocks are getting hit this year, but this strategist still backs his favorites",2021-05-17 03:32:09 AM,CNBC PRO
Why the world’s largest carbon market is experiencing a boom like never before,2021-05-18 05:25:03 AM,SUSTAINABLE FUTURE
Dubai launches region’s ‘first industrial scale’ green hydrogen plant,2021-05-20 01:22:46 PM,SUSTAINABLE ENERGY
Behind Siemens Energy’s first green hydrogen plant in the UAE,2021-05-20 09:10:19 AM,SUSTAINABLE FUTURE
Siemens Energy and partners develop UAE’s first green hydrogen plant,2021-05-20 09:15:18 AM,SUSTAINABLE FUTURE
Siemens Energy and partners develop UAE’s first green hydrogen plant,2021-05-20 09:15:18 AM,SUSTAINABLE FUTURE
This $68 billion Australian city wants to become the next Silicon Valley,2021-05-24 06:43:43 AM,REAL ESTATE
UAE bid for COP28 summit focuses on economic opportunities in climate action,2021-05-25 02:19:11 PM,EMERGING MARKETS
"Electric vehicles need to be owned longer, driven further to offset ‘embedded carbon,’ Jefferies says",2021-05-27 01:16:00 AM,AUTOS
"Here are Friday’s biggest analyst calls of the day: Lordstown, Apple, Costco, Zoom, Dell & ...",2021-05-28 12:20:39 PM,PRO: STREET CALLS
"Russia and Saudi Arabia reject calls to end oil and gas spending, call IEA’s net-zero ...",2021-06-04 10:58:09 AM,ENERGY
"Hydrogen is the key to a low carbon economy, and these stocks will benefit, says ...",2021-06-06 12:52:34 PM,PRO: FUTURE OF ENERGY
Here are Cowen’s favorite ways to play the renewable future,2021-06-07 01:35:58 PM,PRO: FUTURE OF ENERGY
"Invest in the renewable future with these old-school energy stocks, says Wells Fargo",2021-06-08 04:07:51 PM,PRO: FUTURE OF ENERGY
Wind turbine giant Siemens Gamesa lays out plan to drive down cost of ‘green’ hydrogen,2021-06-10 07:20:49 AM,SUSTAINABLE ENERGY
"These stocks will benefit from the eventual rollout of the infrastructure bill, Citi says",2021-06-14 04:02:40 PM,PRO: FUTURE OF ENERGY
"Hydrogen planes, electric propulsion and new regulations: Aviation is changing",2021-06-15 09:07:45 AM,SUSTAINABLE FUTURE
Singapore finance minister says city-state could become a regional hub for green finance,2021-06-16 06:29:51 AM,EVOLVE
European stocks close higher amid a choppy start to the week; Morrisons surges 35%,2021-06-21 05:09:29 AM,EUROPE MARKETS
"By ‘land, sea and air,’ GM plans to expand fuel-cell business beyond EVs",2021-06-21 11:00:01 AM,AUTOS
Want in on green hydrogen? This bank names six stocks to buy right now,2021-06-21 12:01:57 AM,PRO: FUTURE OF ENERGY
"Norway’s Statkraft lined up to provide green hydrogen for 88-meter long, zero-emission ship",2021-06-24 10:15:58 AM,SUSTAINABLE ENERGY
Aramco sees major hydrogen market forming amid historic pressure test for Big Oil,2021-06-28 02:07:33 PM,ENERGY
JPMorgan picks its favorite Chinese stocks on everything from hydrogen to EV batteries,2021-06-28 02:30:01 AM,PRO ANALYSIS AND PRO UNCUT
HSBC picks its top global stocks for the energy transition — and some have serious ...,2021-07-05 11:30:01 PM,PRO: STREET CALLS
Morgan Stanley: These global stocks will pop as Europe updates its ambitious carbon targets,2021-07-08 03:30:01 AM,PRO: STREET CALLS
